"Time","Temperature 1","Temperature 2","Force"
0,22.6,22.8,5
1,22.6,22.8,4
2,22.6,22.8,4
3,22.6,23.2,2
4,22.6,22.8,4
5,22.6,23.2,4
6,22.6,22.8,5
7,22.6,22.8,5
8,22.6,22.8,5
9,22.6,22.8,4
10,22.6,23.2,5
11,22.6,22.8,2
12,22.2,22.8,2
13,22.6,22.8,4
14,22.6,22.8,4
15,22.6,23.2,5
16,22.6,23.2,4
17,22.6,23.2,2
18,22.2,22.8,4
19,22.6,22.8,5
20,22.2,23.2,5
21,22.6,22.8,2
22,22.2,22.8,5
23,22.2,22.8,5
24,22.6,22.8,4
25,22.6,23.2,5
26,22.6,22.8,5
27,22.6,22.8,5
28,22.6,22.8,6
29,22.6,22.8,4
30,22.6,22.8,2
31,22.6,22.8,4
32,22.6,23.2,5
33,22.6,22.8,5
34,22.6,22.8,4
35,22.6,22.8,4
36,22.6,23.2,4
37,22.6,23.2,5
38,22.6,22.8,4
39,22.6,22.8,4
40,22.6,22.8,6
41,22.6,22.8,4
42,22.6,22.8,4
43,22.6,22.8,5
44,22.6,22.8,4
45,22.6,22.8,5
46,22.6,22.8,4
47,22.6,22.8,4
48,22.6,22.8,5
49,22.6,22.8,4
50,22.6,23.2,4
51,22.6,22.8,5
52,22.6,22.8,4
53,22.6,23.2,4
54,22.6,23.2,4
55,22.6,23.2,4
56,22.6,22.8,4
57,22.6,23.2,4
58,22.6,22.8,5
59,22.6,22.8,4
60,22.6,23.2,5
61,22.6,22.8,4
62,22.6,23.2,4
63,22.6,22.8,5
64,22.6,22.8,5
65,22.6,22.8,5
66,22.6,22.8,4
67,22.6,23.2,5
68,22.6,23.2,4
69,22.6,22.8,4
70,22.6,22.8,4
71,22.6,22.8,2
72,22.6,23.2,5
73,22.6,23.2,4
74,22.6,22.8,5
75,22.6,22.8,5
76,22.6,23.2,4
77,22.6,23.2,4
78,23.0,22.8,4
79,22.6,23.2,2
80,22.6,22.8,5
81,22.6,22.8,2
82,22.6,23.2,4
83,22.6,23.2,4
84,22.6,23.2,4
85,22.6,22.8,4
86,22.6,23.2,4
87,22.6,22.8,5
88,22.6,22.8,4
89,22.6,22.8,5
90,22.6,23.2,4
91,22.6,23.2,5
92,22.6,23.2,4
93,22.6,22.8,5
94,22.6,23.2,5
95,22.6,22.8,4
96,22.6,22.8,4
97,22.6,22.8,4
98,22.6,22.8,2
99,22.6,23.2,4
100,22.6,23.2,2
101,22.6,23.2,4
102,22.6,23.2,2
103,22.6,23.2,5
104,22.6,23.2,2
105,22.6,23.2,5
106,22.6,23.2,4
107,22.6,23.2,5
108,22.6,23.2,4
109,22.6,23.2,5
110,22.6,23.2,4
111,22.6,23.2,4
112,22.6,22.8,2
113,23.0,23.2,5
114,22.6,23.2,2
115,22.6,23.2,5
116,23.0,23.2,4
117,22.6,23.2,5
118,22.6,23.2,4
119,22.6,23.2,4
120,23.0,23.2,5
121,23.0,23.2,5
122,22.6,23.2,4
123,22.6,23.2,4
