"Time","Temperature 1","Temperature 2","Force"
0,22.2,18.3,3
1,22.2,18.3,2
2,22.2,17.9,2
3,22.2,18.3,3
4,22.2,18.3,3
5,22.2,18.3,6
6,22.2,18.3,2
7,22.2,18.3,3
8,22.2,18.3,6
9,22.2,18.3,3
10,22.2,18.3,3
11,22.2,18.3,3
12,22.2,18.3,4
13,22.2,18.3,4
14,22.2,18.3,3
15,22.2,18.3,4
16,22.2,18.3,3
17,22.2,18.3,3
18,22.2,18.3,3
19,22.2,18.3,3
20,22.2,18.3,2
21,22.2,18.3,3
22,22.2,18.3,3
23,22.2,18.3,3
24,22.2,18.3,3
25,22.2,18.3,3
26,22.2,18.3,4
27,22.2,18.3,4
28,22.2,18.3,3
29,22.2,18.3,4
30,22.2,18.3,4
31,22.2,18.3,6
32,22.2,18.3,3
33,22.2,18.3,3
34,22.2,18.3,4
35,21.7,18.3,3
36,22.2,18.3,3
37,22.2,18.3,4
38,22.2,18.3,3
39,22.2,18.3,3
40,22.2,18.3,4
41,22.2,17.9,3
42,22.2,18.3,3
43,22.2,18.3,2
44,22.2,18.3,4
45,22.2,18.3,3
46,22.2,18.3,3
47,22.2,18.3,3
48,22.2,18.3,3
49,22.2,18.3,6
50,22.2,18.3,4
51,22.2,18.3,2
52,22.2,18.3,3
53,22.2,18.3,4
54,22.2,18.3,3
55,22.2,18.3,4
56,22.2,18.3,3
57,22.2,18.3,3
58,22.2,18.3,3
59,22.2,18.3,3
60,22.2,18.3,3
61,22.2,18.3,3
62,22.2,18.3,3
63,22.2,18.3,3
64,22.2,17.9,4
65,22.2,18.3,3
66,22.2,18.3,3
67,22.2,18.3,3
68,22.2,18.3,3
69,22.2,18.3,2
70,22.2,18.3,3
71,22.2,18.3,3
72,22.2,18.3,3
73,22.2,18.3,3
74,22.2,18.3,3
75,22.2,18.3,3
76,22.2,18.3,3
77,22.2,18.3,3
78,22.2,18.3,3
79,22.2,18.3,3
80,22.2,18.3,3
81,22.2,18.3,4
82,22.2,18.3,3
83,22.2,18.3,3
84,22.2,18.3,3
85,22.2,18.3,3
86,22.2,18.3,3
87,22.2,18.3,3
88,22.2,18.3,4
89,22.2,18.3,3
90,22.2,18.3,3
91,22.2,18.3,3
92,22.6,18.3,3
93,22.2,18.3,3
94,22.2,18.3,2
95,22.2,18.3,2
96,22.2,18.3,3
97,22.2,18.3,2
98,22.2,18.3,4
99,22.2,18.3,2
100,22.2,18.3,4
101,22.2,18.3,3
102,22.2,18.3,2
103,22.2,18.3,3
104,22.2,18.3,3
105,22.2,18.3,6
106,22.2,18.3,3
107,22.2,18.3,4
108,22.2,18.3,4
109,22.2,18.3,3
110,22.2,18.3,3
111,22.2,18.3,3
112,22.2,18.3,3
113,22.2,18.3,4
114,22.2,18.3,2
115,22.2,18.3,2
116,22.2,18.3,3
117,22.2,18.3,3
118,22.2,18.3,4
119,22.2,18.3,3
120,22.2,18.3,4
121,22.2,18.3,3
122,22.2,18.3,4
123,22.2,17.9,3
124,22.2,18.3,3
125,22.2,18.3,3
126,22.2,18.3,4
127,22.2,18.3,2
128,22.2,18.3,3
129,22.2,18.3,4
130,22.2,18.3,3
131,22.2,18.3,4
132,22.2,18.3,3
133,22.2,18.3,3
134,22.2,18.3,4
135,22.2,18.3,3
136,22.2,18.3,2
137,22.2,18.3,4
138,22.2,18.3,3
