"Time","Temperature 1","Temperature 2","Force"
264,20.9,21.6,4
265,20.9,21.6,2
266,20.9,21.6,4
267,20.9,22.0,1
268,20.9,21.6,4
269,20.9,21.6,2
270,21.3,21.6,4
271,20.9,21.6,4
272,21.3,21.6,4
273,20.9,21.6,4
274,20.9,21.6,2
275,20.9,21.6,4
276,20.9,21.6,4
277,20.9,21.6,2
278,20.9,21.6,2
279,20.9,21.6,4
280,20.9,21.6,2
281,21.3,21.6,4
282,20.9,21.6,2
283,20.9,22.0,4
284,21.3,21.6,4
285,21.3,21.6,4
286,21.3,21.6,4
287,20.9,21.6,4
288,21.3,22.0,5
289,20.9,21.6,4
290,20.9,21.6,2
291,21.3,21.6,4
292,21.3,21.6,4
293,21.3,21.6,2
294,21.3,21.6,4
295,20.9,21.6,2
296,21.3,21.6,4
297,21.3,21.6,1
298,20.9,21.6,2
299,21.3,21.6,2
300,21.3,22.0,4
301,20.9,21.6,2
302,21.3,21.6,4
303,20.9,21.6,2
304,21.3,21.6,4
305,21.3,21.6,4
306,21.3,21.6,4
307,21.3,21.6,5
308,21.3,22.0,2
309,21.3,21.6,2
310,20.9,21.6,4
311,21.3,21.6,4
312,21.3,21.6,2
313,21.3,21.6,4
314,20.9,21.6,2
315,21.3,21.6,4
316,21.3,21.6,2
317,20.9,22.0,4
318,21.3,21.6,2
319,21.3,22.0,4
320,20.9,21.6,4
321,21.3,21.6,4
322,21.3,21.6,4
323,20.9,22.0,4
324,21.3,22.0,4
325,21.3,21.6,5
326,21.3,22.0,5
327,21.3,21.6,5
328,21.3,22.0,4
329,21.3,22.0,5
330,21.3,22.0,2
331,21.3,21.6,4
332,21.3,21.6,2
333,21.3,21.6,4
334,20.9,21.6,2
335,21.3,21.6,4
336,21.3,22.0,2
337,21.3,21.6,4
338,21.3,22.0,2
339,21.3,21.6,4
340,21.3,22.0,4
341,21.3,21.6,4
342,21.3,22.0,2
343,21.3,21.6,4
344,21.3,21.6,2
345,21.3,21.6,4
346,21.3,22.0,2
347,21.3,22.0,4
348,21.3,22.0,2
349,21.3,21.6,2
350,21.3,21.6,2
351,21.3,22.0,4
352,21.3,22.0,4
353,21.3,22.0,4
354,21.3,22.0,4
355,21.3,21.6,4
356,21.3,21.6,4
357,21.3,22.0,4
358,21.3,22.0,4
359,20.9,21.6,4
360,21.3,22.0,2
361,21.3,21.6,4
362,21.3,22.0,4
363,21.3,22.0,2
364,21.3,21.6,4
365,21.3,22.0,4
366,21.3,21.6,4
367,21.3,22.0,4
368,21.3,22.0,4
369,21.3,22.0,4
370,21.3,22.0,4
371,21.3,22.0,4
372,21.3,22.0,4
373,21.3,22.0,2
374,21.3,21.6,4
375,21.3,22.0,2
376,21.3,22.0,4
377,21.3,21.6,2
378,21.3,22.0,4
379,21.3,21.6,2
380,21.3,22.0,4
381,21.3,22.0,2
382,21.3,22.0,4
383,21.3,22.0,2
384,21.3,22.0,4
385,21.3,21.6,2
386,21.3,22.0,4
387,21.3,22.0,4
388,21.3,22.0,4
389,21.3,22.0,4
390,21.3,21.6,5
391,21.3,21.6,4
392,21.3,22.0,2
393,21.3,22.0,4
394,21.3,22.0,4
395,21.3,22.0,4
396,21.3,21.6,2
397,21.3,22.0,5
398,21.3,22.0,2
399,21.3,22.0,4
400,21.3,22.0,2
401,21.3,22.0,4
402,21.3,22.0,2
403,21.3,22.0,4
404,21.3,22.0,2
405,21.3,22.0,4
406,21.3,22.0,2
407,21.3,22.0,4
408,21.3,22.0,4
409,21.3,22.0,4
410,21.3,22.0,4
411,21.3,22.0,4
412,21.3,22.0,4
413,21.3,22.0,4
414,21.3,22.0,2
415,21.3,22.0,4
416,21.3,22.0,4
417,21.3,22.0,4
418,21.3,22.0,4
419,21.7,22.0,2
420,21.7,22.0,2
421,21.3,22.0,4
422,21.3,22.0,4
423,21.3,22.0,4
424,21.3,22.0,4
425,21.3,22.0,4
426,21.3,22.0,2
427,21.3,22.0,4
428,21.3,22.0,2
429,21.3,22.0,2
430,21.3,22.0,2
431,21.3,22.0,2
432,21.3,22.0,2
433,21.3,22.0,2
434,21.3,22.0,4
435,21.7,22.0,2
436,21.3,22.0,2
437,21.3,22.0,2
438,21.3,22.0,4
439,21.3,22.0,2
440,21.3,22.0,4
441,21.3,22.0,2
442,21.3,22.0,5
443,21.3,22.0,2
444,21.3,22.0,4
445,21.3,22.0,2
446,21.3,22.0,4
447,21.3,22.0,1
448,21.3,22.0,4
449,21.3,22.0,1
450,21.3,22.0,4
451,21.3,22.0,2
452,21.3,22.0,4
453,21.7,22.0,2
454,21.3,22.0,4
455,21.3,22.4,2
456,21.7,22.0,4
457,21.3,22.0,4
458,21.3,22.0,2
459,21.7,22.0,4
460,21.3,22.0,4
461,21.3,22.0,4
462,21.3,22.0,4
463,21.3,22.0,4
464,21.3,22.0,4
465,21.3,22.0,4
466,21.7,22.0,4
467,21.3,22.0,4
468,21.3,22.0,4
469,21.7,22.0,4
470,21.3,22.0,4
471,21.7,22.0,5
472,21.7,22.0,4
473,21.7,22.0,4
474,21.3,22.0,4
475,21.3,22.0,2
476,21.7,22.4,4
477,21.7,22.0,2
478,21.3,22.0,4
479,21.3,22.0,2
480,21.7,22.0,4
481,21.3,22.0,2
482,21.7,22.0,4
483,21.3,22.0,2
484,21.3,22.0,4
485,21.7,22.0,4
486,21.3,22.0,4
487,21.3,22.0,4
488,21.7,22.0,4
489,21.7,22.0,4
490,21.7,22.0,4
491,21.7,22.0,4
492,21.7,22.0,4
493,21.7,22.4,4
494,21.7,22.0,2
495,21.7,22.0,4
496,21.3,22.0,4
497,21.3,22.0,4
498,21.7,22.0,1
499,21.3,22.0,5
500,21.3,22.0,1
501,21.3,22.0,4
502,21.7,22.0,2
503,21.7,22.0,4
504,21.7,22.0,4
505,21.7,22.0,5
506,21.7,22.4,4
507,21.7,22.4,5
508,21.7,22.0,4
509,21.7,22.0,5
510,21.3,22.0,4
511,21.7,22.0,5
512,21.7,22.0,4
513,21.3,22.4,4
514,21.7,22.0,4
515,21.3,22.0,4
516,21.7,22.4,4
517,21.3,22.0,4
518,21.7,22.0,4
519,21.3,22.0,2
520,21.7,22.0,4
521,21.3,22.0,2
522,21.7,22.0,4
523,21.7,22.0,2
524,21.7,22.4,4
525,21.7,22.0,2
526,21.7,22.0,4
527,21.7,22.4,4
528,21.7,22.0,4
529,21.7,22.0,4
530,21.3,22.0,4
531,21.7,22.4,4
532,21.7,22.4,2
533,21.7,22.4,4
534,21.7,22.4,2
535,21.7,22.0,4
536,21.7,22.4,2
537,21.7,22.0,4
538,21.7,22.0,2
539,21.7,22.4,4
540,21.7,22.4,4
541,21.7,22.0,4
542,21.7,22.4,4
543,21.7,22.4,4
544,21.7,22.4,2
545,21.7,22.0,4
546,21.3,22.4,4
547,21.7,22.4,4
548,21.7,22.0,2
549,21.7,22.0,4
550,21.7,22.0,2
551,21.7,22.4,4
552,21.7,22.4,2
553,21.7,22.4,4
554,21.7,22.4,4
555,21.7,22.4,5
556,21.7,22.0,4
557,21.7,22.4,4
558,21.7,22.0,4
559,21.7,22.0,2
560,21.7,22.0,4
561,21.7,22.0,5
562,21.7,22.4,5
563,21.7,22.0,2
564,21.7,22.4,5
565,21.7,22.4,2
566,21.7,22.4,5
567,21.7,22.4,4
568,21.7,22.4,5
569,21.7,22.4,4
570,21.7,22.4,4
571,21.7,22.4,5
572,21.7,22.0,2
573,21.7,22.4,4
574,21.7,22.4,2
575,21.7,22.4,4
576,21.7,22.0,4
577,21.7,22.0,5
578,21.7,22.4,2
579,21.7,22.4,4
580,21.7,22.4,5
