"Time","Temperature 1","Temperature 2","Force"
0,19.3,22.4,2
1,19.3,22.4,4
2,19.3,22.4,2
3,19.3,22.4,2
4,19.3,22.0,4
5,19.7,22.4,2
6,19.3,22.0,2
7,19.3,22.0,2
8,19.7,22.0,1
9,19.3,22.0,2
10,19.7,22.0,2
11,19.7,22.0,4
12,19.7,22.0,4
13,19.3,21.6,2
14,19.7,21.6,2
15,19.7,21.6,4
16,19.7,21.6,4
17,19.7,21.6,4
18,20.1,21.6,2
19,19.7,21.6,2
20,19.7,21.6,1
21,19.7,21.6,2
22,19.7,21.6,2
23,19.7,21.6,4
24,19.7,21.6,4
25,19.7,21.6,2
26,19.7,21.6,2
27,19.7,21.6,4
28,19.7,21.6,2
29,19.7,21.6,1
30,19.7,21.1,4
31,19.7,21.6,4
32,19.7,21.1,2
33,19.7,21.6,2
34,19.7,21.1,4
35,19.7,21.1,4
36,19.7,21.6,2
37,19.7,21.1,2
38,19.7,21.1,4
39,19.7,21.1,2
40,20.1,21.1,2
41,19.7,21.1,2
42,20.1,21.1,4
43,19.7,21.1,4
44,20.1,21.1,2
45,19.7,21.1,1
46,20.1,21.1,2
47,20.1,21.1,2
48,19.7,21.1,2
49,20.1,21.1,2
50,19.7,21.1,1
51,20.1,21.1,5
52,20.1,21.1,4
53,20.1,21.1,4
54,19.7,21.1,1
55,20.1,21.1,4
56,19.7,21.1,4
57,20.1,21.1,2
58,20.1,21.1,2
59,20.1,21.1,1
60,20.1,21.1,2
61,20.1,21.1,4
62,19.7,21.1,4
63,20.1,21.1,4
64,20.1,21.1,1
65,20.1,21.1,4
66,20.1,21.1,4
67,20.1,21.1,4
68,19.7,20.7,2
69,20.1,21.1,4
70,20.1,20.7,4
71,20.1,21.1,4
72,20.1,21.1,4
73,20.1,21.1,4
74,20.1,21.1,4
75,20.1,21.1,4
76,20.1,21.1,2
77,20.1,20.7,2
78,20.1,21.1,4
79,20.1,21.1,1
80,20.1,21.1,4
81,20.1,21.1,5
82,20.1,20.7,5
83,20.1,21.1,4
84,20.1,20.7,4
85,20.1,21.1,2
86,20.1,21.1,2
87,20.1,21.1,4
88,20.1,21.1,4
89,20.1,21.1,4
90,20.1,20.7,2
91,20.1,21.1,2
92,20.1,21.1,2
93,20.1,21.1,1
94,20.1,21.1,4
95,20.1,21.1,2
96,20.1,21.1,2
97,20.1,20.7,4
98,20.1,20.7,2
99,20.1,21.1,2
100,20.1,21.1,2
101,20.1,21.1,1
102,20.1,21.1,4
103,20.5,20.7,4
104,20.1,20.7,2
105,20.1,21.1,2
106,20.1,20.7,4
107,20.1,21.1,2
108,20.1,20.7,2
109,20.1,20.7,2
110,20.5,21.1,4
111,20.1,20.7,2
112,20.1,20.7,4
113,20.1,21.1,2
114,20.1,20.7,2
115,20.1,21.1,2
116,20.1,20.7,2
117,20.5,21.1,4
118,20.1,21.1,4
119,20.1,20.7,4
120,20.1,21.1,2
121,20.5,21.1,1
122,20.1,20.7,2
123,20.1,21.1,4
124,20.1,20.7,4
125,20.1,21.1,4
