"Time","Temperature 1","Temperature 2","Force"
0,22.6,18.3,3
1,22.2,18.3,2
2,22.2,18.7,3
3,22.6,18.7,3
4,22.2,18.3,3
5,22.6,18.7,2
6,22.6,18.7,3
7,22.2,18.3,3
8,22.2,18.3,3
9,22.6,18.7,3
10,22.2,18.7,4
11,22.2,18.7,4
12,22.6,18.3,2
13,22.2,18.7,4
14,22.6,18.7,3
15,22.6,18.3,3
16,22.2,18.7,4
17,22.2,18.3,3
18,22.2,18.7,4
19,22.2,18.7,3
20,22.6,18.3,2
21,22.6,18.7,4
22,22.6,18.7,3
23,22.6,18.7,4
24,22.2,18.3,2
25,22.2,18.3,4
26,22.2,18.7,2
27,22.2,18.7,3
28,22.2,18.7,3
29,22.2,18.7,3
30,22.2,18.3,3
31,22.6,18.7,3
32,22.6,18.7,4
33,22.6,18.7,4
34,22.2,18.7,4
35,22.2,18.7,3
36,22.2,18.7,2
37,22.6,18.3,3
38,22.2,18.7,4
39,22.6,18.3,2
40,22.2,18.7,3
41,22.2,18.7,3
42,22.6,18.7,3
43,22.6,18.7,3
44,22.2,18.7,3
45,22.2,18.3,3
46,22.2,18.7,4
47,22.2,18.7,4
48,22.2,18.7,3
49,22.6,18.7,3
50,22.2,18.7,3
51,22.2,18.3,4
52,22.2,18.7,2
53,22.2,18.7,3
54,22.2,18.3,4
55,22.2,18.3,2
56,22.6,18.7,3
57,22.2,18.7,4
58,22.2,18.3,3
59,22.2,18.7,4
60,22.2,18.3,2
61,22.2,18.7,3
62,22.2,18.3,3
63,22.2,18.3,3
64,22.2,18.3,4
65,22.2,18.7,3
66,22.2,18.3,3
67,22.2,18.3,2
68,22.2,18.7,3
69,22.2,18.7,4
70,22.2,18.7,3
71,22.2,18.7,3
72,22.2,18.3,4
73,22.2,18.7,2
