"Time","Temperature 1","Temperature 2","Force"
0,22.2,18.7,6
1,22.2,18.7,4
2,22.2,18.7,4
3,22.6,18.7,3
4,22.6,18.7,3
5,22.2,18.7,3
6,22.2,18.7,6
7,22.2,18.7,3
8,22.6,18.7,4
9,22.2,18.7,3
10,22.6,18.7,3
11,22.2,18.7,3
12,22.2,18.7,3
13,22.2,18.7,4
14,22.2,18.7,6
15,22.6,18.7,3
16,22.6,18.7,4
17,22.6,18.7,4
18,22.2,18.7,4
19,22.6,18.7,3
20,22.6,18.7,3
21,22.6,18.7,4
22,22.2,18.7,3
23,22.2,18.7,3
24,22.6,18.7,4
25,22.6,18.7,3
26,22.6,18.7,4
27,22.6,18.7,3
28,22.6,18.7,3
29,22.6,18.7,2
30,22.2,18.7,4
31,22.2,18.7,3
32,22.2,18.7,4
33,22.6,18.7,3
34,22.6,18.7,4
35,22.6,18.7,3
36,22.6,18.7,3
37,22.2,18.7,4
38,22.6,18.7,3
39,22.2,18.7,3
40,22.6,18.7,4
41,22.6,18.7,4
42,22.6,18.7,2
43,22.6,18.7,4
44,22.6,18.7,6
45,22.6,18.7,3
46,22.6,18.7,3
47,22.6,18.7,3
48,22.6,18.7,3
49,22.6,18.7,3
50,22.6,18.7,4
51,22.6,18.7,4
52,22.6,18.7,3
53,22.6,18.7,6
54,22.6,18.7,4
55,22.2,18.7,4
56,22.6,18.7,4
57,22.6,18.7,3
58,22.6,18.7,3
59,22.2,18.7,6
60,22.6,18.7,3
61,22.2,18.7,3
62,22.6,18.7,4
63,22.6,18.7,3
64,22.6,18.7,3
65,22.6,18.7,4
66,22.6,18.7,3
67,22.6,18.7,4
68,22.2,18.7,3
69,22.6,18.7,6
70,22.6,18.7,3
71,22.6,18.7,4
72,22.6,18.7,3
73,22.6,18.7,4
74,22.2,18.7,3
75,22.6,18.7,4
76,22.2,18.7,4
77,22.6,18.7,3
78,22.6,18.7,6
79,22.6,18.7,3
80,22.6,18.7,4
81,22.6,18.7,3
82,22.6,18.7,3
83,22.2,18.7,4
84,22.6,18.7,3
85,22.6,18.7,6
86,22.6,18.7,4
87,22.6,18.7,3
88,22.6,18.7,3
89,22.6,18.7,3
90,22.6,18.3,4
91,22.6,18.7,4
92,22.6,18.7,4
93,22.6,18.7,6
94,22.6,18.7,6
95,22.6,18.7,4
96,22.6,18.7,4
97,22.6,18.7,3
98,22.6,18.7,4
99,22.2,18.7,-17
100,22.6,18.7,1
101,22.2,18.7,2
102,22.6,18.7,4
103,22.6,18.7,3
104,22.6,18.7,1
105,22.6,18.7,3
106,22.2,18.7,2
107,22.6,18.7,0
108,22.6,18.7,3
109,22.6,18.7,2
110,22.6,18.7,3
111,22.6,18.7,6
112,22.6,18.7,3
113,22.6,18.7,3
114,22.6,18.7,4
115,22.6,18.7,2
116,22.6,18.7,-2
117,22.6,18.7,3
118,22.6,18.7,1
119,22.6,18.3,-2
120,22.2,18.7,1
