"Time","Temperature 1","Temperature 2","Force"
0,21.3,22.0,4
1,21.3,22.0,2
2,21.3,22.0,4
3,21.3,22.0,2
4,21.3,22.0,2
5,21.3,22.0,2
6,21.3,22.0,4
7,21.3,22.0,4
8,21.3,22.0,5
9,21.3,22.0,5
10,21.3,22.0,2
11,21.3,22.0,4
12,21.3,22.0,5
13,21.3,22.0,4
14,21.3,22.0,4
15,21.3,22.0,5
16,21.3,22.0,4
17,21.3,22.0,2
18,21.3,22.0,4
19,21.3,22.0,4
20,21.3,22.0,2
21,21.3,21.6,4
22,21.3,22.0,2
23,21.3,22.0,2
24,21.3,22.0,2
25,21.3,22.0,2
26,21.3,22.0,4
27,21.7,22.0,2
28,21.3,22.0,5
29,21.3,22.0,2
30,21.3,22.0,4
31,21.7,22.0,2
32,21.3,22.0,4
33,21.7,22.0,2
34,21.3,22.0,4
35,21.3,22.0,4
36,21.3,22.0,2
37,21.3,21.6,2
38,21.3,22.0,4
39,21.3,22.0,2
40,21.3,22.0,5
41,21.3,22.0,2
42,21.3,22.0,4
43,21.3,22.0,2
44,21.3,22.0,4
45,21.3,22.0,4
46,21.3,22.0,4
47,21.7,22.0,4
48,21.3,22.0,4
49,21.3,22.0,5
50,21.3,22.0,2
51,21.3,22.0,5
52,21.3,22.0,2
53,21.3,22.0,2
54,21.3,22.0,4
55,21.3,22.0,2
56,21.3,22.0,4
57,21.3,22.0,4
58,21.3,22.0,2
59,21.7,22.0,4
60,21.3,22.0,2
61,21.3,22.0,4
62,21.3,21.6,4
63,21.7,22.0,4
64,21.7,22.0,1
65,21.3,22.0,4
66,21.3,22.0,2
67,21.3,22.0,2
68,21.3,22.0,5
69,21.3,22.0,4
70,21.7,22.0,2
71,21.7,22.0,5
72,21.7,22.0,4
73,21.3,22.0,2
74,21.3,22.0,2
75,21.7,22.0,2
76,21.7,22.0,4
77,21.7,22.0,2
78,21.7,22.0,2
79,21.7,22.0,4
80,21.7,22.0,4
81,21.3,22.0,2
82,21.7,22.0,4
83,21.3,22.0,4
84,21.7,22.0,4
85,21.7,22.0,4
86,21.7,22.0,5
87,21.7,22.0,2
88,21.7,22.0,2
89,21.7,22.0,4
90,21.7,22.0,4
91,21.7,22.0,2
92,21.7,22.0,2
93,21.7,22.4,4
94,21.7,22.0,2
95,21.7,22.0,2
96,21.7,22.0,4
97,21.7,22.0,5
98,21.7,22.0,4
99,21.7,22.0,2
100,21.7,22.0,5
101,21.3,22.0,4
102,21.7,22.0,4
103,21.7,22.0,2
104,21.7,22.0,4
105,21.7,22.0,4
106,21.7,22.0,4
107,21.7,22.0,4
108,21.7,22.0,2
109,21.7,22.0,5
110,21.7,22.0,4
111,21.7,22.0,2
112,21.7,22.0,4
113,21.7,22.0,5
114,21.7,22.0,4
115,21.7,22.0,1
116,21.7,22.0,2
117,21.7,22.0,4
118,21.7,22.0,4
119,21.7,22.0,4
120,21.7,22.0,2
121,21.7,22.0,5
122,21.7,22.4,5
123,21.7,22.4,4
124,21.7,22.0,2
125,21.7,22.0,2
126,21.7,22.0,2
127,21.7,22.4,2
128,21.7,22.0,4
129,21.7,22.0,4
130,21.7,22.4,4
131,21.7,22.0,4
132,21.7,22.0,4
133,21.7,22.0,4
134,21.7,22.0,2
135,21.7,22.0,2
136,21.7,22.0,2
